"ParasiteCorrectedName","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate"
"Acanthocephalus anguillae",0,0,0,0,0,0,0,0,0,0,0
"Acanthocephalus ranae",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema dracunculoides",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema odendhali",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema procyonis",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema reconditum",0,0,0,0,0,0,0,0,0,0,0
"Acanthocheilonema spirocauda",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter antiviralis",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter baumannii",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter calcoaceticus",0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter lwoffii",1,0,0,1,1,1,0,0,1,0,0
"Actinobacillus actinomycetemcomitans",1,0,0,1,0,0,0,0,0,0,0
"Actinobacillus equuli",1,0,1,1,0,0,0,0,0,0,0
"Aelurostrongylus abstrusus",0,0,0,0,0,0,0,0,0,0,0
"Aelurostrongylus falciformis",0,0,0,0,0,0,0,0,0,0,0
"Aelurostrongylus pridhami",0,0,0,0,0,0,0,0,0,0,0
"Aerococcus viridans",0,0,0,0,0,0,0,0,0,0,0
"Aeromonas hydrophila",0,0,0,0,1,1,1,1,1,1,0
"Agriostomum cursoni",0,0,0,0,1,1,1,0,1,0,0
"Agriostomum equidentatum",0,0,0,0,1,1,1,0,1,0,0
"Agriostomum gorgonis",0,0,0,0,1,1,1,0,1,0,0
"Agrobacterium tumefaciens",0,0,0,0,0,0,0,0,0,0,0
"Alaria alata",0,0,0,0,0,0,0,0,0,0,0
"Alaria americana",0,0,0,0,0,0,0,0,0,0,0
"Alaria arisaemoides",0,0,0,0,0,0,0,0,0,0,0
"Alaria canis",0,0,0,0,0,0,0,0,0,0,0
"Alaria marcianae",0,0,0,0,0,0,0,0,0,0,0
"Alaria mustelae",0,0,0,0,0,0,0,0,0,0,0
"Alaria taxideae",0,0,0,0,0,0,0,0,0,0,0
"Alouattalges corbeti",1,0,0,0,0,0,0,0,0,0,0
"Alouattamyia baeri",0,0,0,0,1,0,0,0,0,0,0
"Alphacoronavirus Alphacoronavirus 1",0,0,0,0,0,0,0,0,0,0,0
"Alphavirus Chikungunya virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Eastern equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Mayaro virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Semliki forest virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Sindbis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Southern elephant seal virus",0,0,0,0,0,0,0,0,0,0,0
"Alphavirus Venezuelan equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Alphavirus Western equine encephalitis virus",0,0,0,0,0,0,0,0,0,1,0
"Amblyomma americanum",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma aureolatum",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma brasiliense",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma cajennense",0,0,0,0,1,1,0,0,0,0,0
"Amblyomma coelebs",0,0,0,0,0,0,0,0,0,0,0
"Amblyomma cohaerens",0,0,0,0,1,0,0,0,0,0,0
"Amblyomma dubitatum",0,0,0,0,0,0,0,0,0,0,0
