parType,ParasiteCorrectedBinomial,nOcc,nHosts,specificity,nOccurRange,areaKm,wosOct2015,wosFeb2015,status,maxAllHostRS,maxOneHostRS,phylodivNew,maxphyloNew,Zoonotic,HumanEmerging,Domesticated,close,sexual,vertical,closenonsexual,nonclose,environmental,soil,water,feces,vector,intermediate,no. traits,trait flag,REF - AG 2017,REF type,doi,Notes (Alyssa Gehman)
Bacteria,Leptospira biflexa,NA,NA,G,NA,NA,,134,NA,NA,NA,NA,NA,1,,,1,1,1,1,1,1,1,1,0,0,0,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. doi:10.3390/pathogens3020280.",Article,doi:10.3390/pathogens3020280,
Bacteria,Mannheimia haemolytica,3,46,G,45,1512877.308,1478,576,tsp,12128488.04,9582710.449,80.1,53.6,1,,,1,0,1,1,1,1,0,1,1,0,0,7,no,Timsit et al. Veterinary Microbiology. 2013,Article,doi:10.1016/j.vetmic.2012.07.044,
Bacteria,Streptococcus suis,2,4,G,NA,NA,,1199,tsp,28550687.85,28012634.55,131.2,131.2,1,,,1,0,1,1,1,1,0,0,0,0,0,5,no,"Goyette-Desjardins G, Auger J-P, Xu J, Segura M, Gottschalk M.Streptococcus suis, an important pig pathogen and emerging zoonotic agentÑan update on the worldwide distribution based on serotyping and sequence typing.ÊEmerging Microbes & Infections. 2014;3(6):e45-. doi:10.1038/emi.2014.45.",Article, doi:10.1038/emi.2014.45.,
Protozoa,Toxoplasma gondii,32,143,G,126,90570687.37,54613,13301,tsp,189814632.6,28012634.55,653.7,170.6,1,1,,1,0,1,0,1,1,1,1,1,0,1,8,no,"Robert-Gangneux F, Dard_ M-L. Epidemiology of and Diagnostic Strategies for Toxoplasmosis.ÊClinical Microbiology Reviews. 2012;25(2):264-296. doi:10.1128/CMR.05013-11.",Article,doi:10.1128/CMR.05013-11.,
Bacteria,Coxiella burnetii,13,28,G,23,13447088.21,10533,2494,tsp,78559324.47,28012634.55,288.4,131.2,1,,,1,1,1,1,1,1,1,0,1,1,0,9,no,"Porter SR, Czaplicki G, Mainil J, Guatt_o R, Saegerman C. Q Fever: Current State of Knowledge and Perspectives of Research of a Neglected Zoonosis.International Journal of Microbiology. 2011;2011:248418. ",Article,doi:10.1155/2011/248418.,
Bacteria,Leptospira interrogans,40,783,G,738,64906220.76,8025,1369,tsp,215644556.4,28012634.55,957,170.6,1,1,,1,1,1,1,1,1,1,1,0,0,0,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,
Virus,Parvovirus Porcine parvovirus,1,4,G,NA,NA,,1,tsp,28012634.55,28012634.55,NA,NA,0,,,1,0,1,1,1,1,1,0,1,0,0,7,yes,"Xiao C-T, Gim_nez-Lirola LG, Jiang Y-H, Halbur PG, Opriessnig T. Characterization of a Novel Porcine Parvovirus Tentatively Designated PPV5. Subbiah E, ed.ÊPLoS ONE. 2013;8(6):e65312. ",Article,doi:10.1371/journal.pone.0065312.,"doesn't seem to have a described transmission - although virus has been found in deces and tonsils and data from the cited paper suggests that vertical is an unlikely pathway.  It also appears that if I you got a porcine veterinary textbook it would claim that the transmission is oronasal, transplacental and venereal. "
Bacteria,Pasteurella multocida,8,28,G,27,8090022.534,14744,3798,tsp,67736082.95,28012634.55,250.3,131.2,1,,,1,0,0,1,1,1,0,1,0,0,0,5,no,"K_ndgen S, Leider M, Lankester F, et al.ÊPasteurella multocidaÊInvolved in Respiratory Disease of Wild Chimpanzees. Moreno E, ed.ÊPLoS ONE. 2011;6(9):e24236. .",Article,doi:10.1371/journal.pone.0024236,
Virus,Pestivirus Classical swine fever virus,1,7,G,NA,NA,,6,tsp,28012634.55,28012634.55,NA,NA,0,,,1,1,1,1,1,1,0,0,0,0,0,6,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 352",Textbook,doi:10.3201/eid2104.141441.,"This paper links the disease with the virus. Postel A, Schmeiser S, Oguzoglu TC, et al. Close Relationship of Ruminant Pestiviruses and Classical Swine Fever Virus.ÊEmerging Infectious Diseases. 2015;21(4):668-672. "
Virus,Varicellovirus Suid herpesvirus 1,1,41,G,26,4845283.508,,0,tsp,28012634.55,28012634.55,NA,NA,1,,,1,1,1,1,1,1,0,1,0,1,0,8,no,Wittman. Comp. Immun. Microbiol. Infect. Dis. 1991,Article,10.1016/0147-9571(91)90129-2,aka pseudorabies virus and causitive agent for Aujesky's disesase - mechanical vectored by house flies
Bacteria,Aeromonas hydrophila,1,1,S,NA,NA,,3693,tsp,538053.3024,538053.3024,NA,NA,1,1,,0,0,0,0,1,1,1,1,1,1,0,6,no,"Esteve C, Alcaide E, Blasco MD.ÊAeromonas hydrophilaÊsubsp.ÊdhakensisIsolated from Feces, Water and Fish in Mediterranean Spain.ÊMicrobes and Environments. 2012;27(4):367-373. ",Article,doi:10.1264/jsme2.ME12009.,Also in Bailey and Scott's Diagnostic Microbiology
Virus,Atadenovirus Deer adenovirus,1,1,S,NA,NA,,0,ung,6307636.164,6307636.164,NA,NA,,,,1,0,1,1,1,0,0,1,1,0,0,6,no,Woods et al. Veterinary Pathology. 1999.,Article,10.1354/vp.36-2-100,
Bacteria,Brucella melitensis,6,18,G,NA,NA,,1461,tsp,42472352.51,18168072.93,110.8,53.4,1,1,,1,1,1,1,1,1,0,0,0,0,0,6,no,Seleem et al.  Veterinary Microbiology.2010.,Article,10.1016/j.vetmic.2009.06.021,
Bacteria,Erysipelothrix rhusiopathiae,2,5,G,NA,NA,,603,tsp,35976376.32,28012634.55,131.2,131.2,1,,,1,0,0,1,1,1,1,1,1,1,0,8,no,Wang et.al. Veterinary Microbiology. 2010.,Article,10.1016/j.vetmic.2009.08.012,
Virus,Papillomavirus Bovine papillomavirus,1,1,S,NA,NA,,1,tsp,15261022.82,15261022.82,NA,NA,,,,1,0,0,1,0,0,0,0,0,0,0,2,no,Chambers et al. Journal of General Virology. 2003.,Article,10.1099/vir.0.18947-0,etiological agent of equine sarcoids
Bacteria,Pasteurella trehalosi,NA,NA,G,NA,NA,,47,NA,NA,NA,NA,NA,0,,,1,0,0,1,0,0,0,0,0,0,0,2,no,Miller at al. Publications from USDA-ARS. 2008.,Article,http://digitalcommons.unl.edu/usdaarsfacpub/285,re-classified as Bibersteinia trehalosi. Blackall et al. 2007. International journal of systematic and evolutionary microbiology.
Virus,Pestivirus Border disease virus,2,7,G,NA,NA,,2,tsp,7272007.634,7256885.952,53.4,53.4,0,,,1,0,1,1,1,0,0,0,0,0,0,4,no,"Nettleton, Peter F., et al. ""Border disease of sheep and goats.""ÊVeterinary researchÊ29.3 (1998): 327-340.",Article,,
Virus,Pestivirus Bovine viral diarrhea virus,36,143,G,138,65196859.04,,33,tsp,199048779.3,28012634.55,808,170.6,,,,1,1,1,1,0,0,0,0,0,0,0,4,no,Bachofen et al. Veterinary Research. 2013.,Article,10.1186/1297-9716-44-32,
Fungus,Arthroderma benhamiae,1,1,S,NA,NA,,103,NA,28012634.55,28012634.55,NA,NA,1,,,1,0,0,1,1,1,1,0,0,0,0,5,no,Fehr et al. Journal of exotic pet medicine. 2015.,Article,10.1053/j.jepm.2015.06.015,T. mentoagrophytes complex species
Helminth,Ascaris phacochoeri,1,3,G,NA,NA,,0,ung,776098.1421,776098.1421,NA,NA,0,,,1,0,1,0,1,0,1,0,1,0,0,5,yes,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000.",Textbook,,"Could use general ascaris life cycle, but Anderson suggests that there is some variability in reproduction and I can't find anything that describes the life cycle"
Helminth,Ascaris suum,1,5,G,NA,NA,,2756,tsp,28012634.55,28012634.55,NA,NA,1,,,1,0,1,0,1,0,1,0,1,0,0,5,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000.",Textbook,,
Virus,Asfivirus African swine fever virus,3,4,G,NA,NA,,1,tsp,33786208.77,28012634.55,64.9,43.4,0,,,1,0,0,1,1,1,0,0,1,1,0,6,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 358",Textbook,,
Bacteria,Bacillus anthracis,26,37,G,34,26766089.09,23318,4792,tsp,126198483,14410477.61,672.3,170.6,1,1,,0,0,0,0,1,1,1,0,0,0,0,3,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.",Textboook,,
Bacteria,Chlamydophila psittaci,7,10,G,NA,NA,,349,tsp,49471060.77,28012634.55,227.7,131.2,1,,,1,0,1,1,1,1,0,1,1,1,0,8,no,Harkinezhad et al. Veterinary Microbiology. 2009.,Article,doi:10.1016/j.vetmic.2008.09.046,Also Kirti Dua. Infectious Diseases of Animals
Virus,Deltaretrovirus Bovine leukemia virus,5,10,G,NA,NA,,2,ung,26031510.24,9582710.449,113.7,53.4,,,,1,0,1,1,1,1,0,0,0,0,0,5,no,"Dua, Kirti. Infectious Diseases of Farm Animals. 2012. pg. 274",Textbook,,
Bacteria,Listeria monocytogenes,3,9,G,NA,NA,,29593,tsp,35615298.74,28012634.55,157.9,131.2,1,1,,0,0,0,0,1,1,1,1,1,0,0,5,no,Nightingale et al. Applied and Environmental Microbiology. 2004.,Article,DOI: 10.1128/AEM.70.8.4458_4467.2004,
Virus,Mastadenovirus Adenovirus hemorrhagic disease,1,1,S,NA,NA,,0,tsp,6307636.164,6307636.164,NA,NA,,,,1,0,0,1,1,1,0,1,1,0,0,6,no,"Mahon, Lehman and Manuselis. Textbook of Diagnostic Microbiology. 2011.",Textbook,,
Protozoa,Neospora caninum,15,50,G,49,59082770.07,8295,2231,tsp,57811680.79,15261022.82,197.9,53.4,0,,,1,0,1,0,1,1,0,1,1,0,1,7,no,Donahoe et al. International Journal for Prasitology: Parasites and Wildlife. 2015. ,Article,doi:10.1016/j.ijppaw.2015.04.002,
Helminth,Parascaris equorum,1,2,G,NA,NA,,265,tsp,2310772.898,2310772.898,NA,NA,1,,,0,0,0,0,1,1,1,0,1,0,0,4,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 298",Textbook,,
Helminth,Stephanurus dentatus,2,6,G,NA,NA,,56,tsp,30373717.95,28012634.55,131.2,131.2,0,,,1,0,1,0,1,1,1,0,1,0,1,7,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg.74-76",Textbook,,
Helminth,Strongyloides papillosus,5,20,G,NA,NA,,137,tsp,12383698.53,6085429.445,113.6,53,1,,,1,0,1,0,1,1,0,0,1,0,0,5,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg. 29",Textbook,,
