"","para.name","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","close","nonclose","vector","intermediate","para.type","n.modes","n.Primates","n.Carnivores","n.Ungulates","host.orders"
"11","Acinetobacter antiviralis",2,18.4,84.9468,72.3032356651322,251.5,-0.92038481248899,0.251248751248751,1000,1,1,0,0,"Bacteria",2,0,2,0,"Carnivore"
"12","Acinetobacter baumannii",3,60.1333333333333,104.1952,40.7920023748661,195,-1.08015944551463,0.194805194805195,1000,1,1,0,0,"Bacteria",2,0,3,0,"Carnivore"
"14","Acinetobacter lwoffii",6,156.826666666667,157.89204,10.0631599855096,402,-0.10586866698606,0.401598401598402,1000,1,1,0,0,"Bacteria",2,2,3,1,"Mixed"
"15","Acinetobacter lwoffii",6,156.826666666667,157.89204,10.0631599855096,402,-0.10586866698606,0.401598401598402,1000,1,1,0,0,"Bacteria",2,2,3,1,"Mixed"
"16","Acinetobacter lwoffii",6,156.826666666667,157.89204,10.0631599855096,402,-0.10586866698606,0.401598401598402,1000,1,1,0,0,"Bacteria",2,2,3,1,"Mixed"
"17","Acinetobacter lwoffii",6,156.826666666667,157.89204,10.0631599855096,402,-0.10586866698606,0.401598401598402,1000,1,1,0,0,"Bacteria",2,2,3,1,"Mixed"
"18","Acinetobacter lwoffii",6,156.826666666667,157.89204,10.0631599855096,402,-0.10586866698606,0.401598401598402,1000,1,1,0,0,"Bacteria",2,2,3,1,"Mixed"
"25","Aerococcus viridans",2,93,121.2148,42.1110104148328,315,-0.670010045402802,0.314685314685315,1000,1,1,0,0,"Bacteria",2,0,2,0,"Carnivore"
"26","Aeromonas hydrophila",4,50.1666666666667,103.384966666667,38.780016995374,122.5,-1.37231244654556,0.122377622377622,1000,0,1,1,0,"Bacteria",2,0,4,0,"Carnivore"
"27","Agriostomum cursoni",2,29.4,86.5532,71.0756630615546,259.5,-0.804117718191427,0.259240759240759,1000,0,1,0,0,"Helminth",1,0,0,2,"Ungulate"
"28","Agriostomum equidentatum",2,43.6,94.7166,64.7101822909821,284.5,-0.789931324411112,0.284215784215784,1000,0,1,0,0,"Helminth",1,0,0,2,"Ungulate"
"29","Agriostomum gorgonis",5,46.28,94.19574,36.5702289834272,117,-1.31023899308135,0.116883116883117,1000,0,1,0,0,"Helminth",1,0,0,5,"Ungulate"
"31","Alaria alata",10,84.5511111111111,117.975235555556,18.1116676475529,40.5,-1.84544709492615,0.0404595404595405,1000,0,1,0,1,"Helminth",1,0,10,0,"Carnivore"
"32","Alaria americana",2,2.8,73.4126,81.4785620719789,259,-0.866640232772152,0.258741258741259,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"34","Alaria canis",2,13.6,83.0638,78.1300502643785,262.5,-0.889079166913967,0.262237762237762,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"35","Alaria marcianae",7,91.952380952381,122.792161904762,19.6098094620263,74.5,-1.57267111708051,0.0744255744255744,1000,0,1,0,1,"Helminth",1,0,7,0,"Carnivore"
"36","Alaria marcianae",7,91.952380952381,122.792161904762,19.6098094620263,74.5,-1.57267111708051,0.0744255744255744,1000,0,1,0,1,"Helminth",1,0,7,0,"Carnivore"
"37","Alaria marcianae",7,91.952380952381,122.792161904762,19.6098094620263,74.5,-1.57267111708051,0.0744255744255744,1000,0,1,0,1,"Helminth",1,0,7,0,"Carnivore"
"38","Alaria mustelae",4,67.8333333333333,110.029233333333,34.5709909211457,152.5,-1.22055801340049,0.152347652347652,1000,0,1,0,1,"Helminth",1,0,4,0,"Carnivore"
"41","Alouattamyia baeri",4,29.6,102.180966666667,47.8182778848898,111.5,-1.51784986572261,0.111388611388611,1000,0,1,0,0,"Arthropod",1,4,0,0,"Primate"
"42","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"43","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"44","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"45","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"46","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"47","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"48","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"49","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"50","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"51","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"52","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"53","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"54","Alphacoronavirus Alphacoronavirus 1",18,91.1424836601307,121.816130718954,12.0088226199376,5,-2.55425931663757,0.004995004995005,1000,0,1,0,0,"Virus",1,0,18,0,"Carnivore"
"55","Alphavirus Chikungunya virus",7,79.7904761904762,123.12500952381,26.48318517088,70.5,-1.63630367924862,0.0704295704295704,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"56","Alphavirus Chikungunya virus",7,79.7904761904762,123.12500952381,26.48318517088,70.5,-1.63630367924862,0.0704295704295704,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"57","Alphavirus Eastern equine encephalitis virus",2,192.4,171.5668,45.5679727209572,670,0.457189529312078,0.669330669330669,1000,0,0,1,0,"Virus",1,1,1,0,"Mixed"
"58","Alphavirus Eastern equine encephalitis virus",2,192.4,171.5668,45.5679727209572,670,0.457189529312078,0.669330669330669,1000,0,0,1,0,"Virus",1,1,1,0,"Mixed"
"59","Alphavirus Eastern equine encephalitis virus",2,192.4,171.5668,45.5679727209572,670,0.457189529312078,0.669330669330669,1000,0,0,1,0,"Virus",1,1,1,0,"Mixed"
"60","Alphavirus Mayaro virus",7,40.4952380952381,106.313523809524,31.9790333585513,47.5,-2.05816995705674,0.0474525474525475,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"61","Alphavirus Mayaro virus",7,40.4952380952381,106.313523809524,31.9790333585513,47.5,-2.05816995705674,0.0474525474525475,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"62","Alphavirus Mayaro virus",7,40.4952380952381,106.313523809524,31.9790333585513,47.5,-2.05816995705674,0.0474525474525475,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"63","Alphavirus Mayaro virus",7,40.4952380952381,106.313523809524,31.9790333585513,47.5,-2.05816995705674,0.0474525474525475,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"64","Alphavirus Semliki forest virus",7,43.0095238095238,104.681780952381,32.5928100213994,54.5,-1.89220435741396,0.0544455544455544,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"65","Alphavirus Semliki forest virus",7,43.0095238095238,104.681780952381,32.5928100213994,54.5,-1.89220435741396,0.0544455544455544,1000,0,0,1,0,"Virus",1,7,0,0,"Primate"
"66","Alphavirus Sindbis virus",6,116.226666666667,131.783746666667,21.4077631084151,231,-0.726702734947808,0.230769230769231,1000,0,0,1,0,"Virus",1,1,0,5,"Mixed"
"67","Alphavirus Sindbis virus",6,116.226666666667,131.783746666667,21.4077631084151,231,-0.726702734947808,0.230769230769231,1000,0,0,1,0,"Virus",1,1,0,5,"Mixed"
"68","Alphavirus Sindbis virus",6,116.226666666667,131.783746666667,21.4077631084151,231,-0.726702734947808,0.230769230769231,1000,0,0,1,0,"Virus",1,1,0,5,"Mixed"
"73","Amblyomma americanum",15,128.965714285714,138.134561904762,8.20071826528611,144,-1.11805421457528,0.143856143856144,1000,0,1,0,0,"Arthropod",1,0,8,7,"Mixed"
"74","Amblyomma americanum",15,128.965714285714,138.134561904762,8.20071826528611,144,-1.11805421457528,0.143856143856144,1000,0,1,0,0,"Arthropod",1,0,8,7,"Mixed"
"75","Amblyomma americanum",15,128.965714285714,138.134561904762,8.20071826528611,144,-1.11805421457528,0.143856143856144,1000,0,1,0,0,"Arthropod",1,0,8,7,"Mixed"
"76","Amblyomma aureolatum",5,102.5,127.20108,21.6821374296243,146.5,-1.13923639125407,0.146353646353646,1000,0,1,0,0,"Arthropod",1,0,5,0,"Carnivore"
"77","Amblyomma brasiliense",3,122.733333333333,136.348666666667,26.3233721313362,344,-0.517233630455924,0.343656343656344,1000,0,1,0,0,"Arthropod",1,0,3,0,"Carnivore"
"78","Amblyomma cajennense",14,137.145054945055,144.727057142857,7.84614170893537,157,-0.966335108269539,0.156843156843157,1000,0,1,0,0,"Arthropod",1,1,9,4,"Mixed"
"79","Amblyomma coelebs",2,30.8,95.4196,69.1971845249948,258,-0.933847243115197,0.257742257742258,1000,0,1,0,0,"Arthropod",1,0,2,0,"Carnivore"
"85","Amblyomma hebraeum",22,120.690043290043,136.114738528139,9.46626671173879,62,-1.62943805702914,0.0619380619380619,1000,0,1,0,0,"Arthropod",1,3,0,19,"Mixed"
"88","Amblyomma maculatum",8,142.228571428571,145.888921428571,10.2548057569361,432,-0.356939964223527,0.431568431568432,1000,0,1,0,0,"Arthropod",1,0,5,3,"Mixed"
"89","Amblyomma marmoreum",13,77.474358974359,111.66438974359,18.4784868384775,26.5,-1.85026139142722,0.0264735264735265,1000,0,1,0,0,"Arthropod",1,0,0,13,"Ungulate"
"90","Amblyomma naponense",2,89.4,124.3896,42.4684610272379,274,-0.823896113813939,0.273726273726274,1000,0,1,0,0,"Arthropod",1,0,0,2,"Ungulate"
"91","Amblyomma oblongoguttatum",3,143.666666666667,150.584933333333,18.4312987784123,314.5,-0.375354268293329,0.314185814185814,1000,0,1,0,0,"Arthropod",1,0,1,2,"Mixed"
"92","Amblyomma ovale",15,116.24380952381,134.60335047619,10.5902598940216,48,-1.73362515519994,0.047952047952048,1000,0,1,0,0,"Arthropod",1,0,13,2,"Mixed"
"93","Amblyomma ovale",15,116.24380952381,134.60335047619,10.5902598940216,48,-1.73362515519994,0.047952047952048,1000,0,1,0,0,"Arthropod",1,0,13,2,"Mixed"
"94","Amblyomma ovale",15,116.24380952381,134.60335047619,10.5902598940216,48,-1.73362515519994,0.047952047952048,1000,0,1,0,0,"Arthropod",1,0,13,2,"Mixed"
"95","Amblyomma parvum",8,116.464285714286,133.15785,13.5319531503081,89,-1.23364041393642,0.0889110889110889,1000,0,1,0,0,"Arthropod",1,0,6,2,"Mixed"
"99","Amblyomma scalpturatum",2,170.6,167.1118,23.5841623441129,378,0.147904341443388,0.377622377622378,1000,0,1,0,0,"Arthropod",1,0,0,2,"Ungulate"
"101","Amblyomma testudinarium",7,128.571428571429,140.500752380952,13.4242060766387,209,-0.888642780170343,0.208791208791209,1000,0,1,0,0,"Arthropod",1,0,6,1,"Mixed"
"103","Amblyomma tigrinum",6,111.626666666667,131.261866666667,18.9302120131984,138,-1.0372414205562,0.137862137862138,1000,0,1,0,0,"Arthropod",1,0,5,1,"Mixed"
"104","Amblyomma tigrinum",6,111.626666666667,131.261866666667,18.9302120131984,138,-1.0372414205562,0.137862137862138,1000,0,1,0,0,"Arthropod",1,0,5,1,"Mixed"
"106","Amblyomma triste",6,114.466666666667,132.137653333333,17.4446860399049,167.5,-1.01297246773282,0.167332667332667,1000,0,1,0,0,"Arthropod",1,0,5,1,"Mixed"
"107","Amblyomma variegatum",7,147.714285714286,154.148542857143,11.9750317222549,257.5,-0.537306062488286,0.257242757242757,1000,0,1,0,0,"Arthropod",1,3,0,4,"Mixed"
"108","Amdoparvovirus Carnivore amdoparvovirus 1",3,43.2666666666667,99.3466,48.6815088094256,181,-1.15197607273987,0.180819180819181,1000,1,1,0,0,"Virus",2,0,3,0,"Carnivore"
"109","Amdoparvovirus Carnivore amdoparvovirus 1",3,43.2666666666667,99.3466,48.6815088094256,181,-1.15197607273987,0.180819180819181,1000,1,1,0,0,"Virus",2,0,3,0,"Carnivore"
"110","Amdoparvovirus Carnivore amdoparvovirus 1",3,43.2666666666667,99.3466,48.6815088094256,181,-1.15197607273987,0.180819180819181,1000,1,1,0,0,"Virus",2,0,3,0,"Carnivore"
"111","Amdoparvovirus Carnivore amdoparvovirus 1",3,43.2666666666667,99.3466,48.6815088094256,181,-1.15197607273987,0.180819180819181,1000,1,1,0,0,"Virus",2,0,3,0,"Carnivore"
"113","Anaplasma marginale",7,66.0380952380952,104.44360952381,27.9182464913199,86.5,-1.37564206611812,0.0864135864135864,1000,0,0,1,0,"Bacteria",1,0,0,7,"Ungulate"
"114","Anaplasma ovis",3,53.2666666666667,97.2065333333333,46.7378598184761,292,-0.940134333008048,0.291708291708292,1000,0,0,1,0,"Bacteria",1,0,0,3,"Ungulate"
"115","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
