Ok,Parasite type,Parasite genus,Parasite species,Parasite name,Old name,ParasiteCorrectedBinomial,WOS June_2014,WOS June_2014 Viral Species,Specificity score,Specialist - Generalist,Confidence score,Direct,Indirect,Close,Sexual,Vertical,CloseNonsexual,Non-close,Environment,Soil,Water,Feces,Vector,Intermediate,Notes on Transmission,Notes on Specificity,no. transmission modes,trait flag,REF - AG 2016,REF type,doi,Notes (Alyssa Gehman),
,Bacteria,Francisella,tularensis,Francisella tularensis,Francisella tularensis,Francisella tularensis,2219,,5,G,3,1,1,1,0,0,1,1,1,1,1,1,1,0,,,8,no,"Steiner, D.,Y,  Furuya, and D. Metxger. Infection and Drug Resistance. 2014",Article,http://dx.doi.org/10.2147/IDR.S53700,,
1639,Bacteria,Leptospira,borgpetersenii,Leptospira borgpetersenii,Leptospira borgpetersenii serova Hardjo,Leptospira borgpetersenii,98,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,4,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,There is a mention of genetic changes that are associated with a decreased ability to be environmentally transmitted in this strain and it is suggested that transmission is primarily direct,
1638,Bacteria,Leptospira,bratislava,Leptospira bratislava,Leptospira brantislava,Leptospira bratislava,13,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Båverud V, Gunnarsson A, Engvall EO, Franzén P, Egenvall A. Leptospiraseroprevalence and associations between seropositivity, clinical disease and host factors in horses. Acta Veterinaria Scandinavica. 2009;51(1):15. ",Article,doi:10.1186/1751-0147-51-15.,Bratislava is a strain of interrogans - and the traits from interrogans are used,
1637,Bacteria,Leptospira,canicola,Leptospira canicola,Leptospira canicola,Leptospira canicola,77,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,,
1636,Bacteria,Leptospira,grippotyphosa,Leptospira grippotyphosa,Leptospira grippotyphosa,Leptospira grippotyphosa,33,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,,
1633,Bacteria,Leptospira,icterohaemorrhagiae,Leptospira icterohaemorrhagiae,Leptospira icterohaemorrhagiae,Leptospira icterohaemorrhagiae,78,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Båverud V, Gunnarsson A, Engvall EO, Franzén P, Egenvall A. Leptospiraseroprevalence and associations between seropositivity, clinical disease and host factors in horses. Acta Veterinaria Scandinavica. 2009;51(1):15. ",Article,doi:10.1186/1751-0147-51-15.,,
,Bacteria,Leptospira,interrogans,Leptospira interrogans,Leptospira interrogans,Leptospira interrogans,1386,,5,G,2,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,,
,Bacteria,Leptospira,pomona,Leptospira pomona,Leptospira pomona,Leptospira pomona,154,,5,G,3,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Båverud V, Gunnarsson A, Engvall EO, Franzén P, Egenvall A. Leptospiraseroprevalence and associations between seropositivity, clinical disease and host factors in horses. Acta Veterinaria Scandinavica. 2009;51(1):15. ",Article,doi:10.1186/1751-0147-51-15.,,
1586,Bacteria,Leptospira,NA,Leptospira NA,Leptospira,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,,
,Bacteria,Leptospira,sp.,Leptospira sp.,Leptospira sp.,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,http://www.who.int/zoonoses/diseases/Leptospirosissurveillance.pdf,,8,no,"Lehmann JS, Matthias MA, Vinetz JM, Fouts DE. Leptospiral Pathogenomics.Pathogens. 2014;3(2):280-308. ",Article,doi:10.3390/pathogens3020280.,,
