"","x"
"1","Cooperioides hamiltoni"
"2","Linognathus weisseri"
"3","Respirovirus Bovine parainfluenza virus 3"
"4","Cooperioides hepaticae"
"5","Pestivirus Bovine viral diarrhea virus 1"
"6","Rhipicephalus pravus"
"7","Rhipicephalus decoloratus"
"8","Cooperia verrucosa"
"9","Brucella abortus"
"10","Rhodococcus equi"
"11","Amblyomma tholloni"
"12","Thysaniezia giardi"
"13","Impalaia nudicollis"
"14","Protostrongylus africanus"
"15","Brucella suis"
"16","Giardia intestinalis"
"17","Sarcocystis alceslatrans"
"18","Sarcocystis scandinavica"
"19","Orthobunyavirus California encephalitis virus"
"20","Sarcocystis ovalis"
"21","Macavirus Alcelaphine herpesvirus 1"
"22","Spiculopteragia alicis"
"23","Liorchis scotiae"
"24","Macavirus Caprine herpesvirus 2"
"25","Flavivirus Tick-borne encephalitis virus"
"26","Sarcocystis alces"
"27","Macavirus Ovine herpesvirus 2"
"28","Paramphistomum ichikawai"
"29","Chlamydophila abortus"
"30","Linognathus bedfordi"
"31","Cooperioides antidorca"
"32","Rhipicephalus neumanni"
"33","Rhipicephalus exophthalmos"
"34","Respirovirus Human parainfluenza virus 3"
"35","Chlamydia psittaci"
"36","Mycobacterium haemophilum"
"37","Enterococcus faecium"
"38","Enterococcus mundtii"
"39","Enterococcus hirae"
"40","Enterococcus faecalis"
"41","Staphylococcus aureus"
"42","Enterococcus casseliflavus"
"43","Mycoplasma bovigenitalium"
"44","Mycoplasma bovis"
"45","Corynebacterium pilosum"
"46","Corynebacterium renale"
"47","Rhipicephalus microplus"
"48","Amblyomma triste"
"49","Dermacentor nitens"
"50","Betacoronavirus Betacoronavirus 1"
"51","Dichelobacter nodosus"
"52","Mycoplasma agalactiae"
"53","Teladorasgia davtiani"
"54","Mycoplasma mycoides"
"55","Mycoplasma arginini"
"56","Orthobunyavirus Bunyamwera virus"
"57","Varastrongylus capreoli"
"58","Bartonella capreoli"
"59","Bartonella bovis"
"60","Haemaphysalis concinna"
"61","Cephenemyia stimulator"
"62","Francisella tularensis"
"63","Rickettsia helvetica"
"64","Cephenemyia ulrichii"
"65","Babesia divergens"
"66","Setaria tundra"
"67","Babesia EU2"
"68","Bartonella schoenbuchenis"
"69","Phlebovirus Bhanja virus"
"70","Rhipicephalus pusillus"
"71","Flavivirus West Nile virus"
"72","Eimeria serowi"
"73","Eimeria kamoshika"
"74","Eimeria crispus"
"75","Stomoxys xanthomelas"
"76","Stomoxys inornatus"
"77","Stomoxys transvittatus"
"78","Stomoxys niger"
"79","Stomoxys calcitrans"
"80","Entodinium bicornutum"
"81","Epidinium bulbiferum"
"82","Eudiplodinium maggi"
"83","Metadinium medium"
"84","Entodinium dubardi"
"85","Entodinium caudatum"
"86","Entodinium lobospinosum"
"87","Entodinium furca"
"88","Epidinium gigas"
"89","Blepharocorys jubata"
"90","Entodinium minimum"
"91","Gilbertella persicaria"
"92","Simulium vittatum"
"93","Pilobolus lentiger"
"94","Lawsonia intracellularis"
"95","Anopheles punctipennis"
"96","Simulium jenningsi"
"97","Yersinia mollaretii"
"98","Taenia krabbei"
"99","Pilobolus crystallinus"
"100","Deltapapillomavirus Bovine papillomavirus 4"
"101","Culicoides obsoletus"
"102","Mycobacterium chelonae"
"103","Mycobacterium fortuitum"
"104","Mycobacterium flavescens"
"105","Mycobacterium smegmatis"
"106","Rhipicephalus annulatus"
"107","Dermacentor marginatus"
"108","Haemaphysalis sulcata"
"109","Rickettsia slovaca"
"110","Mycobacterium scrofulaceum"
"111","Mycobacterium terrae"
"112","Mansonella perforata"
"113","Hepevirus Hepatitis E virus"
"114","Cercopithifilaria longa"
"115","Onchocerca eberhardi"
"116","Cercopithifilaria crassa"
"117","Bacillus thuringiensis"
"118","Trypanosoma sp. TSD1"
