"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Acanthocephalus anguillae",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Acanthocephalus ranae",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Acanthocheilonema dracunculoides",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Acanthocheilonema gracile",0,0,0,0,0,0,0,0,0,1,0,1,0,"Helminth","Nematoda","Chromadorea"
"Acanthocheilonema odendhali",0,0,0,0,0,0,0,0,0,1,0,0,0,"Helminth","Nematoda","Chromadorea"
"Acanthocheilonema procyonis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Acanthocheilonema reconditum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Acanthocheilonema spirocauda",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Acinetobacter antiviralis",1,0,0,1,1,1,1,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Acinetobacter baumannii",1,0,0,1,1,1,1,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Acinetobacter calcoaceticus",1,0,0,1,1,1,1,1,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Acinetobacter lwoffii",1,0,0,1,1,1,0,1,1,0,0,1,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Actinobacillus actinomycetemcomitans",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Actinobacillus equuli",1,0,1,1,0,0,0,0,0,0,0,0,0,"Bacteria","Proteobacteria","Gammaproteobacteria"
